region,continent,bonus_eco,aides_region_particulier,montant_aides_part,aides_region_profesionnel,montant_aides_pro,prix_stationnement_vt,prix_stationnement_ve,ville_avec_gratuite_ve,ville_avec_tp_ve,montant_taxe_region_vt,taxe_pro,taxe_fixe,frais_supp
Auvergne-Rhône-Alpes,1,6000,0,NaN,1,10000,172,430,"Bourg-en-Bresse, Bron, Échirolles, Saint-Priest, Meyzieu, Saint-Martin-d'Hères","Lyon, Annecy",43,34,11,"2,76"
Bourgogne-Franche-Comté,1,6000,1,NaN,1,17700,0,0,"Auxerre, Nevers",,51,34,11,"2,76"
Bretagne,1,6000,0,NaN,0,NaN,196,30,,Vannes,51,34,11,"2,76"
Centre-Val de Loire,1,6000,1,1000,0,NaN,165,165,"Bourges, Chartres, Joué-lès-Tours",,"49,8",34,11,"2,76"
Corse,1,6000,0,NaN,0,NaN,430,430,Ajaccio,,27,34,11,"2,76"
Grand Est,1,6000,0,NaN,0,NaN,156,65,"Châlons-en-Champagne, Vandœuvre-lès-Nancy",Colmar,42,34,11,"2,76"
Guadeloupe,0,6000,0,NaN,0,NaN,120,120,Baie-Mahault,,41,34,11,"2,76"
Guyane,0,6000,0,NaN,0,NaN,0,0,,,"42,5",34,11,"2,76"
Hauts-de-France,1,6000,0,NaN,0,NaN,120,120,"Douai, Tourcoing, Villeneuve-d'Ascq, Lens, Wattrelos, Liévin",,33,34,11,"2,76"
Île-de-France,1,6000,1,6000,1,15000,140,94,"Paris, Boulogne-Billancourt, Athis-Mons, Conflans-Sainte-Honorine","Montreuil, Colombes","46,15",34,11,"2,76"
La Réunion,0,6000,0,NaN,0,NaN,44,44,"La Possession, Saint-André, Saint-Joseph, Saint-Leu",,51,34,11,"2,76"
Martinique,0,6000,0,NaN,0,NaN,0,0,,,30,34,11,"2,76"
Mayotte,0,6000,0,NaN,0,NaN,35,35,Koungou,,30,34,11,"2,76"
Normandie,1,6000,1,2000,1,2000,356,150,"Rouen, Cherbourg-en-Cotentin",Caen,35,34,11,"2,76"
Nouvelle-Aquitaine,1,6000,0,NaN,0,NaN,149,10,"Anglet, Talence, Villenave-d'Ornon",Angoulême,41,34,11,"2,76"
Occitanie,1,6000,1,2000,0,2000,188,188,Colomiers,,44,34,11,"2,76"
Pays de la Loire,1,6000,0,NaN,0,NaN,325,325,"La Roche-sur-Yon, Saint-Herblain",,48,34,11,"2,76"
Provence-Alpes-Côte d'Azur,1,6000,1,7000,0,NaN,106,157,"Nice, Aix-en-Provence, Antibes, Cagnes-sur-Mer, Gap, Hyères, La Ciotat, La Seyne-sur-Mer, Vitrolles","Marseille, Avignon, Cannes, Salon-de-Provence, Marignane","51,2",34,11,"2,76"
